Zeit_s;Kraft_N;Weg_mm;Durchbiegung fm_mm;Biegespannung_MPa
9,560000;12,512596;0,089620;0,000000;4,466126
9,580000;12,539219;0,089811;0,000000;4,475628
9,600000;12,565841;0,090001;0,000000;4,485131
9,620000;12,592464;0,090192;0,000000;4,494633
9,640000;12,619087;0,090383;0,000000;4,504136
9,660000;12,645709;0,090573;0,000000;4,513638
9,680000;12,672332;0,090764;0,000000;4,523140
9,700000;12,698954;0,090955;0,000000;4,532643
9,720000;12,725577;0,091146;0,000000;4,542145
9,740000;12,752199;0,091336;0,000000;4,551648
9,760000;12,778822;0,091527;0,000000;4,561150
9,780000;12,805444;0,091718;0,000000;4,570652
9,800000;12,832067;0,091908;0,000000;4,580155
9,820000;12,858689;0,092099;0,000000;4,589657
9,840000;12,885312;0,092290;0,000000;4,599160
9,860000;12,911935;0,092480;0,000000;4,608662
9,880000;12,938557;0,092671;0,000000;4,618164
9,900000;12,965180;0,092862;0,000000;4,627667
9,920000;12,991802;0,093052;0,000000;4,637169
9,940000;13,018425;0,093243;0,000000;4,646672
9,960000;13,045047;0,093434;0,000000;4,656174
9,980000;13,071670;0,093624;0,000000;4,665676
10,000000;13,098292;0,093815;0,000000;4,675179
10,020000;13,124915;0,094006;0,000000;4,684681
10,040000;13,151537;0,094196;0,000000;4,694184
10,060000;13,178160;0,094387;0,000000;4,703686
10,080000;13,204783;0,094578;0,000000;4,713188
10,100000;13,231405;0,094768;0,000000;4,722691
10,120000;13,258028;0,094959;0,000000;4,732193
10,140000;13,284650;0,095150;0,000000;4,741695
10,160000;13,311273;0,095341;0,000000;4,751198
10,180000;13,337895;0,095531;0,000000;4,760700
10,200000;13,364518;0,095722;0,000000;4,770203
10,220000;13,391140;0,095913;0,000000;4,779705
10,240000;13,417763;0,096103;0,000000;4,789207
10,260000;13,444385;0,096294;0,000000;4,798710
10,280000;13,471008;0,096485;0,000000;4,808212
10,300000;13,497631;0,096675;0,000000;4,817715
10,320000;13,524253;0,096866;0,000000;4,827217
10,340000;13,550876;0,097057;0,000000;4,836719
10,360000;13,577498;0,097247;0,000000;4,846222
10,380000;13,604121;0,097438;0,000000;4,855724
10,400000;13,630743;0,097629;0,000000;4,865227
10,420000;13,657366;0,097819;0,000000;4,874729
10,440000;13,683988;0,098010;0,000000;4,884231
10,460000;13,710611;0,098201;0,000000;4,893734
10,480000;13,737233;0,098391;0,000000;4,903236
10,500000;13,763856;0,098582;0,000000;4,912739
10,520000;13,790479;0,098773;0,000000;4,922241
10,540000;13,817101;0,098963;0,000000;4,931743
10,560000;13,843724;0,099154;0,000000;4,941246
10,580000;13,870346;0,099345;0,000000;4,950748
10,600000;13,896969;0,099535;0,000000;4,960251
10,620000;13,923591;0,099726;0,000000;4,969753
10,640000;13,950214;0,099917;0,000000;4,979255
10,660000;13,976836;0,100108;0,000000;4,988758
10,680000;14,003459;0,100298;0,000000;4,998260
10,700000;14,030081;0,100489;0,000000;5,007763
10,720000;14,056704;0,100680;0,000000;5,017265
10,740000;14,083327;0,100870;0,000000;5,026767
10,760000;14,109949;0,101061;0,000000;5,036270
10,780000;14,136572;0,101252;0,000000;5,045772
10,800000;14,163194;0,101442;0,000000;5,055275
10,820000;14,189817;0,101633;0,000000;5,064777
10,840000;14,216439;0,101824;0,000000;5,074279
10,860000;14,243062;0,102014;0,000000;5,083782
10,880000;14,269684;0,102205;0,000000;5,093284
10,900000;14,296307;0,102396;0,000000;5,102787
10,920000;14,322929;0,102586;0,000000;5,112289
10,940000;14,349552;0,102777;0,000000;5,121791
10,960000;14,376175;0,102968;0,000000;5,131294
10,980000;14,402797;0,103158;0,000000;5,140796
11,000000;14,429420;0,103349;0,000000;5,150299
11,020000;14,456042;0,103540;0,000000;5,159801
11,040000;14,482665;0,103730;0,000000;5,169303
11,060000;14,509287;0,103921;0,000000;5,178806
11,080000;14,535910;0,104112;0,000000;5,188308
11,100000;14,562532;0,104303;0,000000;5,197810
